LRID	Ligand_geneid	Ligand_Uniprot	ligand_symbol	Receptor_geneid	Receptor_Uniprot	Receptor_symbol	PMID	Database
LRH6843	3273	P04196	HRG	2209	P12314	FCGR1A	10421785	CellTalkDB;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH0354	3265	P01112	HRAS	185	P30556	AGTR1	8753867	CellTalkDB;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH0416	3265	P01112	HRAS	7097	O60603	TLR2	15007072;15496409	CellTalkDB;SingleCellSignalR;Ramilowski2015;iTALK;talklr;OmniPath
LRH0503	3265	P01112	HRAS	2906	O15399	GRIN2D	10862698	CellTalkDB;SingleCellSignalR;Ramilowski2015;iTALK;talklr;OmniPath
LRH1026	3265	P01112	HRAS	6383	P34741	SDC2	32196115;16997272;15752734	CellTalkDB;SingleCellSignalR;iTALK;talklr;OmniPath
LRH6338	3265	P01112	HRAS	54106	Q9NR96	TLR9	12867418	CellTalkDB;SingleCellSignalR;Ramilowski2015;iTALK;talklr;OmniPath
LRH6938	3265	P01112	HRAS	857	Q03135	CAV1	8621645	CellTalkDB;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH6939	3265	P01112	HRAS	3643	P06213	INSR	3109943	CellTalkDB;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH1988	3263	P02790	HPX	4035	Q07954	LRP1	31078524	CellTalkDB;SingleCellSignalR;OmniPath
LRH0580	27306	O60760	HPGDS	11251	Q9Y5Y4	PTGDR2	12895599	HPMR;OmniPath
LRH7796	27306	O60760	HPGDS	5729	Q13258	PTGDR		HPMR;OmniPath
LRH0950	3240	P00738	HP	933	P20273	CD22	11967116;9127741	CellTalkDB;OmniPath
LRH1796	3240	P00738	HP	432	P07306	ASGR1	32196115	CellTalkDB;SingleCellSignalR;iTALK;talklr;OmniPath
LRH1866	3240	P00738	HP	433	P07307	ASGR2	32196115	CellTalkDB;SingleCellSignalR;iTALK;talklr;OmniPath
LRH1989	3240	P00738	HP	7099	O00206	TLR4	31076532	CellTalkDB;OmniPath
LRH2131	3240	P00738	HP	9332	Q86VB7	CD163	11854028;25389409;27294203	CellTalkDB;connectomeDB2020;OmniPath
LRH2661	3240	P00738	HP	3684	P11215	ITGAM	11967116;8786317	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
